No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
74,cmolfs52700zuouqmkbg9qimc,EN1003544,ENVELOPE,ENVELOPES,100,3.5*44,OFFSET,DOUBLE_SIDE,0
75,cmolfrj8a00xnouqmyrete0pa,EN10045,ENVELOPE,ENVELOPES,100,4*5,OFFSET,DOUBLE_SIDE,2
76,cmolfs6j80100ouqmv8hfliyp,EN10047,ENVELOPE,ENVELOPES,100,4*7,OFFSET,DOUBLE_SIDE,1
77,cmolfri1400xkouqmbtn81b2d,EN10049,ENVELOPE,ENVELOPES,100,4*9,OFFSET,DOUBLE_SIDE,3
78,cmolfs69n00zzouqm3m15269d,EN10058,ENVELOPE,ENVELOPES,100,5.5*8,OFFSET,DOUBLE_SIDE,2
79,cmolfrik700xmouqm0og45vrv,EN13058,ENVELOPE,ENVELOPES,130,5.5*8,OFFSET,DOUBLE_SIDE,2
80,cmolfrg4f00xeouqmuvviophm,EN6045,ENVELOPE,ENVELOPES,60,4*5,OFFSET,DOUBLE_SIDE,0
81,cmolfrgdn00xfouqmnz49btet,EN6047,ENVELOPE,ENVELOPES,60,4*7,OFFSET,DOUBLE_SIDE,0
82,cmolfrhbt00xiouqm2f8822sc,EN6049,ENVELOPE,ENVELOPES,60,4*9,OFFSET,DOUBLE_SIDE,0
83,cmolfrgn300xgouqm0189a3fj,EN6058,ENVELOPE,ENVELOPES,60,5.5*8,OFFSET,DOUBLE_SIDE,0
84,cmolfrh2d00xhouqm9xs3ay3x,EN60811,ENVELOPE,ENVELOPES,60,8.5*11,OFFSET,DOUBLE_SIDE,0
85,cmolfrdav00x6ouqm6nrn5o90,EN702.5X4,ENVELOPE,ENVELOPES,70,2.5*4,OFFSET,DOUBLE_SIDE,1
86,cmolfrdzp00x8ouqm1weo9rtp,EN7045,ENVELOPE,ENVELOPES,70,4*5,OFFSET,DOUBLE_SIDE,8
87,cmolfre8x00x9ouqmnpfqpm8i,EN7047,ENVELOPE,ENVELOPES,70,4*7,OFFSET,DOUBLE_SIDE,8
88,cmolfrffh00xcouqm9ol748h9,EN7049,ENVELOPE,ENVELOPES,70,4*9,OFFSET,DOUBLE_SIDE,5
89,cmolfreqo00xaouqmyucysqus,EN7058,ENVELOPE,ENVELOPES,70,5.5*8,OFFSET,DOUBLE_SIDE,7
90,cmolfrf6300xbouqmsz9rs1xc,EN70811,ENVELOPE,ENVELOPES,70,8.5*11,OFFSET,DOUBLE_SIDE,5
91,cmolfs44v00zsouqmhs5u24br,EN70912,ENVELOPE,ENVELOPES,70,9*12,OFFSET,DOUBLE_SIDE,0
92,cmolfrhlh00xjouqmdc1jy0rd,EN8045,ENVELOPE,ENVELOPES,80,4*5,OFFSET,DOUBLE_SIDE,2
93,cmolfriao00xlouqm5tk5gtri,EN804510,ENVELOPE,ENVELOPES,80,4.5*10,OFFSET,DOUBLE_SIDE,0
94,cmolfrfox00xdouqms06onl1p,EN8049,ENVELOPE,ENVELOPES,80,4*9,OFFSET,DOUBLE_SIDE,2
95,cmolfs4st00ztouqmty4yld29,EN80912,ENVELOPE,ENVELOPES,80,9*12,OFFSET,DOUBLE_SIDE,1
96,cmolfs2tf00znouqm30xssb7w,EN9045,ENVELOPE,ENVELOPES,90,4*5,OFFSET,DOUBLE_SIDE,0
97,sfbpz06d27m2w5yw2sx94no1,ENW49,ENVELOPE WINDOW,ENVELOPES,70,4.25*9.25,OFFSET,DOUBLE_SIDE,0
98,cmolfs1c200ziouqm02u3jrt8,FL15350BS,FILE,FILE,300,15*20,OFFSET,DOUBLE_SIDE,0
99,cmolfrqm000yhouqmy1hgw6di,FL250BS,FILE,FILE,250,9*12,OFFSET,DOUBLE_SIDE,5
100,cmolfrqcl00ygouqmytm5ia37,FL250SS,FILE,FILE,250,9*12,OFFSET,SINGLE_SIDE,5
101,cmolfrray00yjouqmm8llcgzo,FL300BS,FILE,FILE,300,9*12,OFFSET,DOUBLE_SIDE,5
102,cmolfrqvj00yiouqmuynsct4u,FL300SS,FILE,FILE,300,9*12,OFFSET,SINGLE_SIDE,6
103,cmolfrs2b00ylouqmprrhtzkj,FL350BS,FILE,FILE,350,9*12,OFFSET,DOUBLE_SIDE,4
104,cmolfrrsy00ykouqmbq6zx56u,FL350SS,FILE,FILE,350,9*12,OFFSET,SINGLE_SIDE,4
105,cmolfs5ki00zxouqmy25oc19x,FLPVC300BS,FILE,FILE,300,9*12,OFFSET,DOUBLE_SIDE,4
106,cmolfrsbr00ymouqmcvstrspw,FLPVC300SS,FILE,FILE,300,9*12,OFFSET,SINGLE_SIDE,4
107,cmolfs5u900zyouqmahcycsxi,FLPVC350BS,FILE,FILE,350,9*12,OFFSET,DOUBLE_SIDE,4
108,cmolfrsr400ynouqmi5intz45,FLPVC350SS,FILE,FILE,350,9*12,OFFSET,SINGLE_SIDE,4
109,os1wre3j61weg2v2n8sqgjl6,FL250SS912,SMALL DR FILES ,FILE,250,6*9,OFFSET,SINGLE_SIDE,0
110,owoas5w82ho7mpsgtbliph5q,KC77,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
111,z4ivwreeb9efqvujhwknwz0n,KC78,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
112,kj0dpl9hhj3u1qhneljaicsx,KC79,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
113,p25jc1jj4oupaffveg3tus99,KC80,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
114,kgoxnkeachlgjnajkuomexef,KC81,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
115,ogmow0hpgid9igzqzowvtxqp,KC82,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
116,jwgzca4l18hzd9x1mavp5r3w,KC83,ABS MOBILE STAND KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,7
